cwd,bftpd_cwd_chdir,bftpd_cwd_mappath,18,16,1,Flow
cwd,bftpd_cwd_chdir,bftpd_cwd_mappath,18,16,1,Output
cwd,bftpd_cwd_chdir,bftpd_cwd_mappath,18,19,0,Flow
cwd,bftpd_cwd_chdir,bftpd_cwd_mappath,18,21,0,Flow
cwd,bftpd_cwd_chdir,bftpd_cwd_mappath,18,22,0,Flow
cwd,bftpd_cwd_chdir,bftpd_cwd_mappath,18,25,0,Flow
cwd,bftpd_cwd_chdir,bftpd_cwd_mappath,18,28,0,Flow
cwd,bftpd_cwd_chdir,bftpd_cwd_mappath,18,31,0,Flow
cwd,bftpd_cwd_chdir,bftpd_cwd_mappath,18,33,0,Flow
cwd,bftpd_cwd_chdir,chdir,21,18,1,Flow
cwd,bftpd_cwd_chdir,chdir,21,18,1,Output
cwd,bftpd_cwd_chdir,chdir,21,19,1,Input
cwd,bftpd_cwd_chdir,chdir,21,19,1,Anti
cwd,bftpd_cwd_chdir,chdir,21,22,1,Input
cwd,bftpd_cwd_chdir,chdir,21,22,1,Flow
cwd,bftpd_cwd_chdir,chdir,21,25,1,Input
cwd,bftpd_cwd_chdir,chdir,21,25,1,Flow
cwd,bftpd_cwd_chdir,chdir,21,28,1,Input
cwd,bftpd_cwd_chdir,chdir,21,28,1,Flow
cwd,bftpd_cwd_chdir,chdir,21,31,1,Input
cwd,bftpd_cwd_chdir,chdir,21,31,1,Flow
cwd,bftpd_cwd_chdir,chdir,21,33,1,Input
cwd,bftpd_cwd_chdir,chdir,21,33,1,Flow
cwd,bftpd_cwd_chdir,free,22,18,1,Flow
cwd,bftpd_cwd_chdir,free,22,18,1,Output
cwd,bftpd_cwd_chdir,free,22,19,1,Input
cwd,bftpd_cwd_chdir,free,22,19,1,Anti
cwd,bftpd_cwd_chdir,free,22,21,1,Input
cwd,bftpd_cwd_chdir,free,22,21,1,Anti
cwd,bftpd_cwd_chdir,free,22,25,1,Input
cwd,bftpd_cwd_chdir,free,22,25,1,Flow
cwd,bftpd_cwd_chdir,free,22,28,1,Input
cwd,bftpd_cwd_chdir,free,22,28,1,Flow
